"id","product_id","bundle_id","app_name","platform","product_url","unified_id","unified_name","subject_name","audience","class","subclass","publisher_id","publisher_name","publisher_country","icon","release_date","category","create_time","update_time","product_id_rank"
"208","com.Highscoregames.Drawrocket","com.Highscoregames.Drawrocket","Rocket Punch!","android","https://play.google.com/store/apps/details?hl=en&id=com.Highscoregames.Drawrocket","5f7ff5d6532b773ed9134784","Rocket Punch!",\N,"休闲","超休闲","解谜/脑筋急转弯","Lion+Studios","Lion Studios","US","https://play-lh.googleusercontent.com/VM2vkpvOx7CSyYHccxfZPWtWrhpYzz5N44dVilS5E-LOb0LV_IpqzdhR1919wd4IMA=s150","2020-10-07","Puzzle,Game","2021-03-10 14:41:15","2021-03-18 09:25:01","com.Highscoregames.Drawrocket"
"241","com.hippotap.claw","com.hippotap.claw","Grabby Grab","android","https://play.google.com/store/apps/details?hl=en&id=com.hippotap.claw","5faf2cca85034c04305c8eb4","Grabby Grab",\N,"休闲","超休闲","瞄准/射击","Lion+Studios","Lion Studios","US","https://play-lh.googleusercontent.com/pwM6iYhgxUerq7SxGWzKpVJ7USMESWG0UZX4TMUwQrjG85i5zx0u3MUSK370gZPhnw=s150","2020-12-09","Action,Game","2021-03-10 14:41:15","2021-03-18 09:25:01","com.hippotap.claw"
"531","com.histudiogames.wordserenityg","com.histudiogames.wordserenityg","Word Serenity - Free Word Games and Word Puzzles","android","https://play.google.com/store/apps/details?hl=en&id=com.histudiogames.wordserenityg","5dfa5453a17c4631e24237ee","Word Serenity",\N,"休闲","益智","文字","HI+STUDIO+LIMITED","HI STUDIO LIMITED","British Virgin Islands","https://play-lh.googleusercontent.com/GM3IQM0YkSmE7NfZRDTdyw-Ag9ltv3KXe4kAS_cbzIEhVSeaIrvGSNjHZ7cGsy_AGtY=s150","2020-02-02","Word,Game","2021-03-10 14:41:25","2021-03-18 09:25:01","com.histudiogames.wordserenityg"
"846","com.histudiogames.wordtilepuzzleg","com.histudiogames.wordtilepuzzleg","Word Tile Puzzle: Brain Training & Free Word Games","android","https://play.google.com/store/apps/details?hl=en&id=com.histudiogames.wordtilepuzzleg","5ff8dd3ff23aeb238066a4d1","Word Tile Puzzle",\N,\N,\N,\N,"HI+STUDIO+LIMITED","HI STUDIO LIMITED","British Virgin Islands","https://play-lh.googleusercontent.com/xL9pRQrBE_jbbE8JY2MF8WtUhid9f6rjcYNkyJ1sjMVePdShd80k1KXkSStWFL0dKe4=s150","2021-01-08","Word,Game","2021-03-10 14:41:34","2021-03-16 18:02:18","com.histudiogames.wordtilepuzzleg"
"36","com.hit.master","com.hit.master","Hit Master 3D: Knife Assassin","android","https://play.google.com/store/apps/details?hl=en&id=com.hit.master","5fb76760cf9439454fd022eb","Hit Master 3D",\N,"休闲","超休闲","瞄准/射击","CASUAL+AZUR+GAMES","CASUAL AZUR GAMES","United Arab Emirates","https://play-lh.googleusercontent.com/xcVlvz8Dq4Jcbzr4TxEfYGAcxWNS4twrPxN5a3aVYLiGGPoxfQEkDPOWR9Dy1IZrK2E=s150","2020-11-17","Action,Game","2021-03-10 14:41:10","2021-03-18 09:25:01","com.hit.master"
"8153","com.hitapps.mergestrike","com.hitapps.mergestrike","Join & Strike","android","https://play.google.com/store/apps/details?hl=en&id=com.hitapps.mergestrike","5fec1f44ba2a1c51ef2103d9","Join & Strike",\N,\N,\N,\N,"Hitapps","Hitapps",\N,"https://play-lh.googleusercontent.com/Y5vfN1Y9u3SfKJBhVz-9cRCegGLRBPmhKd57ZZRdfIqbhe6JjvJ8zQ592Y7KKuw0FIw=s150","2020-12-23","Action,Game","2021-03-15 14:47:10","2021-03-15 14:47:10","com.hitapps.mergestrike"
"4193","com.hitcents.drawastickmanepic2free","com.hitcents.drawastickmanepic2free","Draw a Stickman: EPIC 2","android","https://play.google.com/store/apps/details?hl=en&id=com.hitcents.drawastickmanepic2free","5690b7ba34abf6ca6a003204","Draw a Stickman",\N,\N,\N,\N,"Hitcents","Hitcents","US","https://play-lh.googleusercontent.com/1o3HIjileI0UUWfao43qaC-LWUcwYdNFBOiBgRiWbcD8HmZlonXn2-mGz_ZAnrEAAxne=s150","2016-01-08","Adventure,Game","2021-03-11 16:57:38","2021-03-16 18:02:18","com.hitcents.drawastickmanepic2free"
"532","com.honeyponey.bubbletea","com.honeyponey.bubbletea","Bubble Tea!","android","https://play.google.com/store/apps/details?hl=en&id=com.honeyponey.bubbletea","5e064c37b9ab94136b6e3614","Bubble Tea!",\N,"休闲","超休闲","解压游戏","Dual+Cat","Dual Cat","France","https://play-lh.googleusercontent.com/qWVx7LPjvlva8t6vl8mO-W25PyZ0DQ1K-i_ZW8_NmvGW3zCvO5t_kWvwbFPD8r2diw=s150","2020-01-09","Casual,Game","2021-03-10 14:41:25","2021-03-18 09:25:01","com.honeyponey.bubbletea"
"242","com.howtoloot.pullpin.herorescue","com.howtoloot.pullpin.herorescue","How to Loot - Pin Pull & Hero Rescue","android","https://play.google.com/store/apps/details?hl=en&id=com.howtoloot.pullpin.herorescue","5ee6d72e5915634f027d07e9","How to Loot",\N,"休闲","超休闲","解谜/脑筋急转弯","Azura+Global","Azura Global","Singapore","https://play-lh.googleusercontent.com/MEH5cuUCPt0yakHXSm9cxNCw7AY1pudiSk8HSB9LukgTJmQ8L29eBsI9sFfCSEIQLC6f=s150","2020-06-23","Puzzle,Game","2021-03-10 14:41:15","2021-03-18 09:25:01","com.howtoloot.pullpin.herorescue"
"454","com.hutchgames.rebelracing","com.hutchgames.rebelracing","Rebel Racing","android","https://play.google.com/store/apps/details?hl=en&id=com.hutchgames.rebelracing","5ca19791b9ab944cee6a0c89","Rebel Racing",\N,"硬核","赛车","模拟赛车","Hutch+Games","Hutch Games","Great Britain","https://play-lh.googleusercontent.com/YdLxzTVUSZR5SYgwp-pLZfcgeSV8rSVD6LJ9PO2d9t-heVFtXQfaniEYWB1Qg33fFJs=s150","2019-11-05","Racing,Game","2021-03-10 14:41:22","2021-03-18 09:25:01","com.hutchgames.rebelracing"
