week,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths,transmission_rate,case_fatality_rate,Country,people_fully_vaccinated
0,180639.85714285713,24261244.57142857,3206.4285714285716,419182.14285714284,0.25100690290149413,0.5822093967573807,United States,0.003382801314073234
1,152664.2857142857,25403514.57142857,3172.0,441359.71428571426,0.20168629756504625,0.5831222555146633,United States,0.005900029509191968
2,122647.28571428571,26363456.0,2873.714285714286,462480.0,0.15598870842165338,0.58804111153891,United States,0.009555592808967924
3,95619.71428571429,27109606.0,2832.8571428571427,481534.28571428574,0.1179409687621871,0.5938751219833416,United States,0.014120192114099268
4,67457.57142857143,27669520.42857143,2075.4285714285716,499964.71428571426,0.08114874320139107,0.6013409162476882,United States,0.018449529453464765
5,66546.85714285714,28124556.14285714,1926.7142857142858,513348.4285714286,0.07804746226155752,0.6023627269733579,United States,0.02398989300179568
6,59997.57142857143,28570081.714285713,1480.0,525208.1428571428,0.06873252903775735,0.601796078347242,United States,0.029318623229861552
7,54818.71428571428,28963385.14285714,1213.857142857143,534523.7142857143,0.06131356641376538,0.598237125926164,United States,0.03540864584329256
8,54420.857142857145,29344599.714285713,894.7142857142857,541855.7142857143,0.05935630415000711,0.5914326027480665,United States,0.040800431809941196
9,59734.142857142855,29742087.57142857,873.4285714285714,547928.2857142857,0.06328190833127446,0.5811740148314003,United States,0.04767252077026621
10,64252.57142857143,30183224.714285713,764.0,553794.1428571428,0.0657028309366874,0.5668324352865648,United States,0.05608790387724013
11,65131.857142857145,30630709.85714286,698.0,558770.7142857143,0.06362451121047626,0.5468022581771929,United States,0.06685582510253964
12,66759.28571428571,31101628.714285713,696.0,563707.5714285715,0.06181548626645482,0.5224466009533913,United States,0.07571124773301907
13,58065.28571428572,31541222.14285714,673.0,568432.4285714285,0.05097854318796545,0.4990858701980173,United States,0.08455784393254114
14,48291.42857142857,31900637.85714286,640.2857142857143,573021.1428571428,0.040358187898643656,0.4794624670710586,United States,0.09322325892701923
15,41785.28571428572,32219978.57142857,635.0,577523.7142857143,0.03342420358444466,0.46206427424756763,United States,0.10134068520174168
16,33347.42857142857,32475839.85714286,568.7142857142857,581740.1428571428,0.025646042913931234,0.4476758991511773,United States,0.1080782722068128
17,25947.285714285714,32682021.57142857,517.1428571428571,585480.5714285715,0.019386909409700632,0.4375732859629458,United States,0.11358066748953272
18,21104.714285714286,32842504.285714287,501.2857142857143,588999.4285714285,0.015452439392395373,0.43143797627376707,United States,0.11730006074789401
19,14186.714285714286,32962679.0,382.85714285714283,592006.4285714285,0.010251962202164604,0.4279852872731037,United States,0.12090629032929963
20,14230.42857142857,33063655.85714286,374.42857142857144,594875.8571428572,0.01019605843301646,0.42630054753969276,United States,0.12490301258332667
21,11513.42857142857,33153067.85714286,250.42857142857142,596917.2857142857,0.008198559104281444,0.4251041677921507,United States,0.12782437070266583
