RMSE,End Date,Country
0.01742748335003853,48,US
0.01706747129559517,5,US
0.02125486150383949,3,US
0.02446979820728302,48,US
0.025610726326704025,5,US
0.024506700932979585,48,US
0.01891683392226696,48,US
0.01733777463436127,3,US
0.01568347193300724,48,US
0.02038942441344261,48,US
0.01264413982629776,3,US
0.02607583045959473,48,US
0.02435215748846531,4,US
0.025801708921790123,48,US
0.0204710753262043,48,US
0.03286457061767578,48,US
0.023230334520339967,48,US
0.021133759766817094,48,US
0.023708589375019073,2,US
0.030041737481951714,48,US
0.02575983852148056,6,US
0.028407512232661247,48,US
0.025611111894249916,3,US
0.023007288575172424,48,US
0.025660430788993834,48,US
0.02261099383234978,48,US
0.02940557152032852,48,US
0.02954509645700455,48,US
0.027001833319664,48,US
0.02479790896177292,6,US
0.02449294924736023,3,US
0.030116197377443314,48,US
0.027124790251255033,48,US
0.02471023052930832,4,US
0.0310559943318367,48,US
0.023679252713918686,3,US
0.02573678083717823,3,US
0.026885855942964554,10,US
0.021258823573589325,2,US
0.02449835628271103,48,US
0.0255999581515789,48,US
0.025609636679291725,5,US
0.025542668998241425,48,US
0.02351994812488556,3,US
0.023505400866270065,2,US
0.03039180301129818,10,US
0.023818794637918472,3,US
0.029565397650003433,6,US
0.027279231697320938,48,US
0.03193186628818512,48,US
0.027885036766529085,6,Canada
0.01888098031282425,0,Canada
0.032336557507514956,6,Canada
0.022946425005793573,2,Canada
0.021557851918041708,0,Canada
0.03339586615562439,0,Canada
0.022533796019852163,0,Canada
0.02794922910630703,0,Canada
0.024171765185892584,3,Canada
0.02648056320846081,0,Canada
0.026460232436656954,3,Canada
0.03222184278070927,8,Canada
0.019110722690820696,1,Canada
0.014961560480296612,1,Canada
0.01579345598816872,0,Canada
0.011096676802262664,1,Canada
0.03413487248122692,8,Canada
0.021911051347851755,0,Canada
0.013861914854496718,1,Canada
0.0316363575309515,5,Canada
0.016048895418643953,0,Canada
0.031009014919400217,8,Canada
0.02671150512993336,3,Canada
0.012929597394540906,0,Canada
0.030700763911008837,0,Canada
0.016461267825216057,0,Canada
0.027682384699583056,5,Canada
0.02620733737945557,3,Canada
0.011674233935773373,1,Canada
0.01847694277763367,1,Canada
0.023589976355433466,3,Canada
0.016275065243244173,1,Canada
0.025031528659164907,3,Canada
0.0246924052387476,0,Canada
0.020649155825376513,2,Canada
0.01936989113688469,0,Canada
0.03379555441439152,48,Canada
0.03567936666309834,48,Canada
0.030043555647134783,8,Canada
0.02044913660734892,0,Canada
0.03901493012905121,0,Canada
0.022714327313005926,0,Canada
0.03331468276679516,48,Canada
0.0199401343613863,0,Canada
0.025594878233969214,4,Canada
0.028234830349683764,0,Canada
0.015209918599575758,0,Canada
0.025970831736922266,0,Canada
0.015624670069664717,1,Canada
0.01918641593307257,2,Canada
0.02791450336575508,0,Spain
0.03143155202269554,2,Spain
0.024363220892846583,3,Spain
0.02453625366091728,3,Spain
0.02462731596827507,4,Spain
0.02664981946349144,8,Spain
0.02387747868895531,9,Spain
0.02817811980843544,6,Spain
0.01893500228226185,9,Spain
0.012762229181826115,0,Spain
0.02081909753382206,2,Spain
0.02358194999396801,0,Spain
0.019749028608202934,3,Spain
0.025726525112986565,6,Spain
0.024267330318689346,0,Spain
0.02576766863465309,9,Spain
0.018841431207954885,4,Spain
0.02465228386223316,6,Spain
0.03210668802261352,5,Spain
0.02150623895227909,5,Spain
0.03904963403940201,9,Spain
0.03989352658390999,4,Spain
0.015457191944122314,2,Spain
0.017482246056199073,3,Spain
0.0226735882461071,2,Spain
0.031481340527534485,0,Spain
0.02684160277247429,0,Spain
0.019147831946611404,6,Spain
0.01939133856445551,1,Spain
0.020618254646658896,0,Spain
0.017355550080537796,8,Spain
0.016592909529805182,6,Spain
0.02868871182203293,7,Spain
0.016749268397688866,7,Spain
0.02753028601408005,3,Spain
0.01904070695489645,2,Spain
0.020585849434137344,4,Spain
0.023523468039929867,5,Spain
0.02302142769098282,7,Spain
0.027672482430934908,8,Spain
0.02825386568903923,5,Spain
0.02278516463935375,3,Spain
0.024586690589785576,6,Spain
0.02830703303217888,6,Spain
0.01864279806613922,1,Spain
0.015087418258190155,5,Spain
0.02941756519675255,8,Spain
0.019013323113322256,8,Spain
0.02813649505376816,9,Spain
0.02664917193353176,5,Spain
